"1","Rishikesh","A spiritual destination known for yoga and adventure sports.","Dehradun Airport","Spring","0.10","3D/4N","10.00","Hindi/English","372.000","0.000","4.90","pexels-photo-15196909.jpeg"
"7","Nainital","Popular hill station known for its picturesque Naini Lake.","Pantnagar Airport","Fall","0.41","4D/5N","20.00","English/Hindi/Kumaoni","2084.000","0.000","4.70","pexels-photo-16060830.jpeg"
"10","Auli","Famous ski destination with mesmerizing views of the Himalayas.","Dehradun Airport","Winter","0.10","4D/5N","30.00","English/Hindi/Garhwali","2800.000","1.000","4.80","pexels-photo-8206039.jpeg"
"14","Haridwar","Haridwar is an ancient city and an important Hindu pilgrimage site, located in the foothills of the Himalayas.","Dehradun Airport","All Weather","0.23","2D/1N","5.00","English/Hindi","314.600","0.000","4.60","pexels-photo-10783023.jpeg"
"15","Valley of Flowers","A UNESCO World Heritage site with stunning landscapes.","Dehradun Airport","Fall","0.01","6D/7N","25.00","Hindi/Garhwali","3658.000","20.000","4.80","pexels-photo-554609.jpeg"
"16","Chopta","A picturesque hamlet known as the Mini Switzerland of India.","Dehradun Airport","Spring","0.01","4D/5N","30.00","English/Hindi/Garhwali","2700.000","10.000","4.60","pexels-photo-7846473.jpeg"
"17","Kedarnath","Sacred Hindu shrine and a part of the Char Dham Yatra.","Dehradun Airport","Summer","0.01","3D/4N","30.00","English/Hindi/Garhwali","3854.000","16.000","5.00","pexels-photo-11974834.jpeg"
"32","Kausani","Kausani is a scenic hill station in Uttarakhand that is known for its panoramic views of the Himalayas and tea gardens.","Pantnagar Airport","Spring","0.01","3D/4N","9.80","Hindi, Kumaoni, English","1890.000","0.000","4.40","pexels-photo-8020071.jpeg"
"33","Yamunotri","Yamunotri is a holy town in Uttarakhand that is known for its temple and hot springs.","Dehradun Airport","Summer","0.01","3D/4N","11.00","Hindi, Garhwali, English","3293.000","10.000","4.50","pexels-photo-13672802.jpeg"
"34","Mukteshwar","Mukteshwar is a charming hill station in Uttarakhand that is known for its natural beauty and ancient temples.","Pantnagar Airport","Summer","0.01","2D/1N","6.80","Hindi, Kumaoni, English","2286.000","0.000","4.10","pexels-photo-7846563.jpeg"
"35","Binsar","Binsar is a scenic hill station in Uttarakhand that is known for its panoramic views of the Himalayas and trekking trails.","Pantnagar Airport","All Weather","0.01","3D/4N","9.50","Hindi, Kumaoni, English","2412.000","13.500","4.60","pexels-photo-7846490.jpeg"
"36","Gwaldam","Gwaldam is a scenic hill station in Uttarakhand that is known for its panoramic views and trekking trails.","Dehradun Airport","All Weather","0.01","2D/1N","10.00","Hindi, Garhwali, English","1706.000","15.500","4.70","pexels-photo-15896015.jpeg"
"37","Hemkund Sahib","Hemkund Sahib is a holy Sikh shrine in Uttarakhand that is known for its scenic beauty and trekking trails.","Dehradun Airport","Summer","0.01","4D/5N","16.00","Hindi, Garhwali, English","4239.000","18.500","4.90","pexels-photo-574313.jpeg"
"38","Badrinath","Badrinath is a holy town in Uttarakhand that is known for its ancient temple and scenic beauty.","Dehradun Airport","Summer","0.01","4D/5N","12.00","Hindi, Garhwali, English","4329.000","0.000","5.00","pexels-photo-15017640.jpeg"
